Usuario,id_equipo,RESPONISVA,FECHA DE ASIGNACION,estatus
139,314,1,2021-04-08,ACTIVO
140,315,0,1900-01-01,ACTIVO
140,316,0,1900-01-01,ACTIVO
141,317,1,2021-05-28,ACTIVO
141,318,1,2020-02-05,ACTIVO
142,319,1,2021-04-05,ACTIVO
142,320,0,1900-01-01,ACTIVO
142,321,0,1900-01-01,ACTIVO
143,322,1,2022-01-25,ACTIVO
144,323,1,2022-03-03,ACTIVO
145,324,0,1900-01-01,ACTIVO
145,325,0,1900-01-01,ACTIVO
145,326,1,2020-06-04,ACTIVO
145,327,1,1900-01-01,ACTIVO
145,328,0,1900-01-01,ACTIVO
145,329,0,1900-01-01,ACTIVO
146,330,1,2021-12-14,ACTIVO
146,331,1,2021-12-14,ACTIVO
147,332,1,2021-04-16,ACTIVO
147,333,0,2018-04-25,ACTIVO
147,334,0,1900-01-01,ACTIVO
148,335,0,2021-07-23,ACTIVO
149,336,0,2022-02-14,ACTIVO
149,337,1,2021-05-12,ACTIVO
149,338,1,2021-01-25,ACTIVO
150,339,1,2021-12-08,ACTIVO
150,340,1,2021-12-08,ACTIVO
150,341,1,2021-12-08,ACTIVO
151,342,1,2019-12-13,ACTIVO
151,343,1,2019-12-13,ACTIVO
151,344,1,2017-08-23,ACTIVO
151,345,1,2017-08-23,ACTIVO
152,346,1,2021-03-24,ACTIVO
153,347,0,2022-02-16,ACTIVO
154,348,1,2022-03-02,ACTIVO
154,349,1,2022-03-02,ACTIVO
154,350,1,2022-03-02,ACTIVO
155,351,0,1900-01-01,ACTIVO
205,352,0,1900-01-01,ACTIVO
156,353,0,1900-01-01,ACTIVO
156,354,0,1900-01-01,ACTIVO
157,355,1,2017-08-25,ACTIVO
157,356,1,1900-01-01,ACTIVO
157,357,1,1900-01-01,ACTIVO
157,358,1,2017-08-25,ACTIVO
158,359,1,2020-12-07,ACTIVO
158,360,1,2020-12-07,ACTIVO
159,361,1,2020-12-07,ACTIVO
159,362,1,2020-12-07,ACTIVO
159,363,1,2021-10-21,ACTIVO
160,364,0,1900-01-01,ACTIVO
205,365,0,1900-01-01,ACTIVO
160,366,0,1900-01-01,ACTIVO
160,367,0,1900-01-01,ACTIVO
161,368,0,1900-01-01,ACTIVO
161,369,0,1900-01-01,ACTIVO
162,370,1,2019-11-28,ACTIVO
162,371,1,2021-09-20,ACTIVO
162,372,1,1900-01-01,ACTIVO
163,373,1,1900-01-01,ACTIVO
163,374,1,1900-01-01,ACTIVO
163,375,1,1900-01-01,ACTIVO
164,376,1,2021-06-02,ACTIVO
164,377,1,2021-09-03,ACTIVO
165,378,1,2021-05-31,ACTIVO
165,379,1,2021-05-31,ACTIVO
165,380,1,2017-08-25,ACTIVO
166,381,1,2021-06-02,ACTIVO
166,382,1,2021-03-29,ACTIVO
167,383,0,2021-03-25,ACTIVO
167,384,0,2021-03-25,ACTIVO
168,385,1,2019-08-30,ACTIVO
169,386,1,2022-03-03,ACTIVO
169,387,1,2022-03-03,ACTIVO
170,388,1,2021-11-12,ACTIVO
171,389,0,1900-01-01,ACTIVO
171,390,0,1900-01-01,ACTIVO
172,391,1,2020-03-17,ACTIVO
172,392,1,2021-06-02,ACTIVO
172,393,1,2019-12-02,ACTIVO
173,394,1,2021-05-31,ACTIVO
173,395,1,2021-05-31,ACTIVO
174,396,1,2020-06-16,ACTIVO
174,397,0,2020-06-10,ACTIVO
175,398,1,2022-01-22,ACTIVO
175,399,1,2021-04-08,ACTIVO
176,400,0,2022-02-21,ACTIVO
176,401,1,2021-11-10,ACTIVO
176,402,1,2021-11-10,ACTIVO
176,403,1,2021-11-10,ACTIVO
177,404,0,1900-01-01,ACTIVO
177,405,0,1900-01-01,ACTIVO
178,406,1,1900-01-01,ACTIVO
178,407,1,2019-11-09,ACTIVO
179,408,1,2021-05-31,ACTIVO
179,409,1,2021-05-31,ACTIVO
180,410,0,1900-01-01,ACTIVO
180,411,1,2021-11-09,ACTIVO
181,412,1,2021-05-12,ACTIVO
181,413,1,2021-02-03,ACTIVO
181,414,1,2021-02-03,ACTIVO
182,415,1,1900-01-01,ACTIVO
182,416,1,2021-05-08,ACTIVO
182,417,1,2021-05-08,ACTIVO
183,418,1,1900-01-01,ACTIVO
183,419,1,2021-04-15,ACTIVO
183,420,1,2021-04-15,ACTIVO
184,421,1,2021-09-23,ACTIVO
184,422,1,2021-03-17,ACTIVO
185,423,1,2021-12-31,ACTIVO
185,424,1,2022-01-14,ACTIVO
185,425,1,2021-12-31,ACTIVO
185,426,1,2021-12-31,ACTIVO
186,427,1,2021-06-12,ACTIVO
186,428,1,1900-01-01,ACTIVO
187,429,1,2020-01-07,ACTIVO
187,430,1,2021-05-31,ACTIVO
188,431,0,1900-01-01,ACTIVO
188,432,0,1900-01-01,ACTIVO
188,433,0,2021-07-15,ACTIVO
189,434,1,2021-11-25,ACTIVO
189,435,0,2021-12-13,ACTIVO
189,436,0,2021-12-13,ACTIVO
190,437,0,1900-01-01,ACTIVO
190,438,1,2021-06-12,ACTIVO
190,439,1,2021-04-28,ACTIVO
190,440,1,2021-04-28,ACTIVO
191,441,1,2021-09-10,ACTIVO
191,442,1,1900-01-01,ACTIVO
191,443,1,1900-01-01,ACTIVO
192,444,0,1900-01-01,ACTIVO
193,445,1,2021-05-07,ACTIVO
193,446,1,2021-05-07,ACTIVO
193,447,1,1900-01-01,ACTIVO
193,448,0,1900-01-01,ACTIVO
194,449,1,2021-05-31,ACTIVO
194,450,1,2019-12-16,ACTIVO
195,451,1,2021-03-12,ACTIVO
195,452,1,2021-03-12,ACTIVO
196,453,1,2021-05-31,ACTIVO
196,454,1,2021-05-31,ACTIVO
196,455,1,2021-05-31,ACTIVO
197,456,1,2022-02-24,ACTIVO
197,457,1,2022-02-24,ACTIVO
