TIPO,MARCA,EQUIPO,NO_SERIE,DESCRIPCION,PROPIEDAD,ESTATUS
1,13,ACTIVE COOL,2340000000000,Procesador: Intel Core I5-4460 CPU @ 3.20 GHz 4 GB en RAM 500 GB en DD,PROPIO,ACTIVO
3,1,INSPIRON 1521,2KXYQD1,AMD Athlon Dual-Core @ 1.70 GHz Disco Duro 160 gb Ram 2gb DDR3 Windows 7 profesional.,PROPIO,STOCK
1,13,ACTIVE COOL,2340000000000,,PROPIO,ACTIVO
2,8,V206HQL,MMLY6AM0015290F92D8504,,PROPIO,ACTIVO
1,1,VOSTRO 3470,2VKPJV2,"COMPUTADORA DELL VOSTRO 3470 CORE-I5 8400 8A GENERACION MEMORIA RAM DE 4GB DDR4 2666MHZ HASTA 32GB OPCIONAL DISCO DURO DE 1TB 3.5"" (7200RPM) SATA TARJETA DE VIDEO INTEGRADA INTEL UHD 630 UNIDAD MULTIMEDIA DVD+/-RW W10PRO GARANTIA 1 AÑO",ARRENDADO,ACTIVO
2,1,E2016HV,7694CX2 / CN-07XJH5-FCC00-964-C9HU-A05,MONITOR LED DELL 20 E2016HV/ 19.5¨ 1600x900/ 60 HZ /SOLO TIENE CONEXIO VGA,ARRENDADO,ACTIVO
3,1,VOSTRO 3468,HWBH1P2,PORTATIL DELL VOTRO 14-3468 PROCESADOR CI5 7200U DD 1TB RAM 8GB W10P,ARRENDADO,ACTIVO
1,14,GB-300,2340000000000,ntel(R) Core(TM) i5-4460 CPU @ 3.20GHz Disco Duro 500 gb 4 gb RAM Windows 7 ,PROPIO,ACTIVO
2,15,MG2016,S2016171202025,,PROPIO,ACTIVO
2,1,E2016HV,8LPQ4T2 / CN-07XJH5-FCC00-914-DVWU-A05,MONITOR LED DELL 20 E2016HV/ 19.5¨ 1600x900/ 60 HZ /SOLO TIENE CONEXIO VGA,ARRENDADO,ACTIVO
1,1,VOSTRO 3470,4HMLZT2,"COMPUTADORA DELL VOSTRO 3470 CORE-I5 8400 8A GENERACION MEMORIA RAM DE 4GB DDR4 2666MHZ HASTA 32GB OPCIONAL DISCO DURO DE 1TB 3.5"" (7200RPM) SATA TARJETA DE VIDEO INTEGRADA INTEL UHD 630 UNIDAD MULTIMEDIA DVD+/-RW W10PRO GARANTIA 1 AÑO",ARRENDADO,ACTIVO
